DateTime,AddedIPs,RemovedIPs
1508128922,80,80
1508130121,78,78
1508131322,80,80
1508132522,80,80
1508133122,80,80
1508133721,80,80
1508134322,80,80
1508134921,80,80
1508135521,80,80
1508136122,80,80
1508136721,79,79
1508137321,72,72
1508138521,80,80
1508139122,80,80
1508139722,65,65
1508140922,72,72
1508141522,63,63
1508142122,80,80
1508143321,78,78
1508143921,80,80
1508144522,78,78
1508145722,80,80
1508146321,80,80
1508146921,68,68
1508149321,77,77
1508149921,80,80
1508150521,80,80
1508151722,80,80
1508152322,80,80
1508152922,80,80
1508153522,80,80
1508154122,80,80
1508155322,80,80
1508155922,80,80
1508156521,80,80
1508157121,80,80
1508157721,80,80
1508158321,80,80
1508158923,80,80
1508159521,80,80
1508160122,80,80
1508161321,80,80
1508161921,80,80
1508162522,80,80
1508163722,74,74
1508164922,79,79
1508166122,79,79
1508166722,80,80
1508167321,76,76
1508167921,80,80
1508168522,80,80
1508169721,80,80
1508170322,80,80
1508170922,80,80
1508171521,80,80
1508172122,80,80
1508172721,80,80
1508173322,80,80
1508174521,80,80
1508175722,80,80
1508176921,80,80
1508178121,80,80
1508178721,80,80
1508179322,80,80
1508179921,80,80
1508180522,80,80
1508181722,80,80
1508182321,80,80
1508182921,80,80
1508183522,80,80
1508184122,79,79
1508184722,80,80
1508185321,80,80
1508185921,80,80
1508186522,73,73
1508187721,79,79
1508188321,80,80
1508188921,80,80
1508189522,80,80
1508190122,80,80
1508190721,80,80
1508191321,80,80
1508191922,80,80
1508192522,80,80
1508193121,80,80
1508193721,67,67
1508194322,64,64
1508194922,80,80
1508195522,80,80
1508196121,80,80
1508196722,79,79
1508197321,80,80
1508197922,80,80
1508198522,80,80
1508199121,80,80
1508199721,80,80
1508200922,80,80
1508201522,80,80
1508202123,80,80
1508202722,80,80
1508203323,78,78
1508203922,80,80
1508204522,80,80
1508205122,80,80
1508205721,80,80
1508206322,80,80
1508206921,79,79
1508208122,79,79
1508208722,80,80
1508209321,80,80
1508209921,80,80
1508210521,80,80
1508211122,80,80
1508211722,80,80
1508212321,78,78
