DateTime,AddedIPs,RemovedIPs
1500664209,10,0
1500666311,0,1
1500667209,0,1
1500684310,0,1
1500702611,0,1
1500711610,0,1
1500717310,0,1
1500729912,0,1
1500751210,0,1
1500762610,0,1
1500763211,0,1
1500765310,0,1
1500768013,0,1
1500768909,0,1
1500770110,0,1
1500771610,0,1
1500774009,0,1
1500774310,0,1
1500774610,0,1
1500774910,0,1
1500777611,0,1
1500836109,0,1
1500890410,0,1
1500894610,0,1
1500926111,0,1
1500950111,0,1
1500952511,0,1
1500957310,0,1
1500985811,0,1
1500986411,0,1
1500993612,0,1
1501008612,0,1
1501053920,0,1
1501075517,0,1
1501083311,0,1
1501116012,0,1
1501149012,0,1
1501152012,0,1
1501205413,0,1
1501210812,0,1
1501243213,0,1
1501249812,0,1
1501277412,0,1
1501278613,0,1
1501282213,0,1
1501294513,0,1
1501347613,10,0
1501348213,1,0
1501348512,0,1
1501349413,15,0
1501349713,13,0
1501350313,16,0
1501351212,5,1
1501351814,13,0
1501352413,11,0
1501354513,0,1
1501363213,1,0
1501364113,1,0
1501367713,0,0
1501368614,0,2
1501368913,0,1
1501369512,0,1
1501373713,0,1
1501375212,0,1
1501376412,0,1
1501412414,0,1
1501473312,0,1
1501485917,0,1
1501489513,0,1
1501498812,0,1
1501501213,0,1
1501509013,0,1
1501532412,0,1
1501537512,10,0
1501547713,0,1
1501558813,0,1
1501561213,0,1
1501592713,0,1
1501615212,0,1
1501620613,0,1
1501626316,0,1
1501654813,0,1
1501686015,0,1
1501710013,0,1
1501714212,0,1
1501726213,0,1
1501731313,0,1
1501770314,0,1
1501791313,0,1
1501792813,0,1
1501802720,0,1
1501817712,0,1
1501845612,0,1
1501872313,0,1
1501875612,0,1
1501905613,0,1
1501942814,0,1
1501968912,0,1
1501969212,0,2
1501969513,0,2
1502048113,0,1
1502064913,0,1
1502066413,0,1
1502067914,0,1
1502076316,0,1
1502081413,0,1
1502110814,0,1
1502122213,0,1
1502123412,0,1
1502123713,3,4
1502124013,0,1
1502167814,0,1
1502213714,0,1
1502217613,0,1
1502221214,0,1
1502253314,0,1
1502253614,0,2
1502302213,0,1
1502302813,0,1
1502326815,0,1
1502360113,0,1
1502362814,0,1
1502416213,0,1
1502445013,0,2
1502458814,0,1
1502478313,0,1
1502486113,0,1
1502487013,0,1
1502487314,0,1
1502487914,0,2
1502552713,0,3
1502566514,0,1
1502578213,0,1
1502579114,0,1
1502579714,0,1
1502583314,0,1
1502588413,0,1
1502591715,0,1
1502617513,0,1
1502625914,0,1
