DateTime,AddedIPs,RemovedIPs
1508127393,37,599
1508128347,196,939
1508129310,159,297
1508130280,409,471
1508131220,510,249
1508132189,400,5
1508133133,347,262
1508134125,392,1169
1508134592,49,0
1508135055,597,11
1508136030,586,872
1508136984,237,3
1508137955,307,476
1508138192,74,0
1508138894,329,14
1508139874,323,520
1508140827,390,8
1508141786,291,881
1508141792,75,0
1508142755,286,8
1508143704,221,199
1508144662,239,150
1508145631,559,417
1508146596,545,275
1508147575,394,232
1508149527,992,489
1508150439,717,61
1508151386,696,62
1508152338,676,12
1508152592,89,0
1508153318,581,152
1508154254,673,30
1508155228,724,237
1508156202,644,159
1508157146,655,278
1508158109,663,83
1508159225,651,86
1508159792,89,0
1508160255,629,17
1508161224,612,117
1508162192,510,166
1508163136,580,44
1508163392,61,0
1508164102,503,65
1508165067,500,43
1508166027,566,41
1508166994,505,79
1508167948,669,33
1508168900,505,98
1508169864,583,29
1508170826,492,119
1508171772,508,67
1508172758,552,61
1508173696,495,63
1508174173,31,57
1508174192,38,0
1508174658,496,51
1508175613,173,31
1508176583,401,61
1508177559,498,40
1508177792,47,0
1508178499,478,45
1508179465,481,38
1508180431,364,41
1508181383,443,26
1508181392,50,0
1508182364,451,48
1508183295,307,26
1508184259,453,54
1508185305,479,41
1508186170,4,5
1508186420,316,25
1508187369,433,29
1508188101,2,0
1508188332,431,27
1508188592,58,0
1508189312,385,39
1508189779,44,0
1508190006,0,4
1508190259,428,67
1508191223,664,57
1508191931,8,3
1508192200,433,29
1508193393,450,16
1508193861,34,67
1508194350,304,23
1508195309,312,11
1508195805,6,4
1508196290,388,22
1508197212,231,20
1508197763,8,4
1508198192,232,19
1508199144,238,32
1508199648,56,1018
1508200105,229,21
1508201059,216,21
1508201553,9,4
1508202045,289,5
1508203248,293,17
1508203721,12,2
1508204185,216,3
1508205137,214,32
1508205643,12,5
1508206106,255,274
1508206593,47,0
1508207058,234,8
1508207557,8,7
1508208026,201,158
1508208990,220,30
1508209470,5,3
1508209949,305,144
1508210192,35,0
1508210903,295,27
1508211398,8,12
1508211862,292,57
1508212851,330,56
1508213322,8,3
1508213800,202,19
1508214738,283,8
1508215236,17,3
1508215707,155,60
1508216675,166,168
1508217613,372,134
1508218587,145,143
1508219088,6,15
1508219556,175,298
1508220500,158,3
1508220984,6,2
1508220992,118,0
1508221469,181,332
1508222426,218,23
1508222939,7,2
1508223389,173,158
1508224352,149,12
1508224592,79,0
1508225303,193,146
1508226266,217,38
1508226759,6,10
1508227236,227,103
1508229667,484,69
1508230604,188,63
1508231549,135,78
1508232506,183,131
1508232692,437,0
1508233478,138,70
1508234429,181,218
1508235382,154,13
